Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:51c35b26b0401d3641bf8465de42bb66cbc53b1f48b10f5d7cbc9152c8912a11,Khamis Chome,Yes,WDM-K,Voi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/khamis-chome/
membership:f6cdfc2f78e717ed47cea760afd4b876802959fd0ad0961981ee1ca9f87ac551,Adan Haji Yussuf,Yes,UDM,Mandera West,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/adan-haji-yussuf/
membership:f93cc0d9ae3ea55247b06818056a92a913ea15ea8840a6d2d5108ff5396ab1c8,Pareyio Mantaine Agnes,Yes,JP,Narok North,Narok,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/agnes-mantaine-pareyio/
membership:6c2b8cc6c95118fea29d50300775702637a8bee0abf708b747005901c38548ef,Okuome Adipo Andrew,Yes,ODM,Karachuonyo,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/andrew-adipo-okuome/
membership:96bb250d2de796dd23f2d8bc06ce38a53314fe8881b7066532b7ac966ba56fb8,Wainaina Anthony Njoroge,Yes,UDA,Kieni,Nyeri,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-njoroge-wainaina/
membership:60fac3175c3ff2fd9d788fa1927a44b34b81a476b4640685c25c5740e1932acc,Anthony Tom Oluoch,Yes,ODM,Mathare,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-tom-oluoch/
membership:5f11dc2395515f64ec0b0c454731d5b1c78fc101fffbff44ac68c7938a7c8054,John Namoit,Yes,ODM,Turkana South,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ariko-john-namoit/
membership:b5405cb7f001fbbefb40cb6c4fe0e02e85286a63c4ec4da008ba6a2b0330826c,Babu Owino,Yes,ODM,Embakasi East,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/babu-owino-paul-ongili/
membership:4a8732d124fc7f19869b2f011276870e4711d280441f6bf225a9edcf825e0da5,Barongo Nolfason Obadiah,Yes,ODM,Bomachoge Borabu,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/barongo-nolfason-obadiah/
membership:859fe948c70339b6e88e17ddce72e13660d28d063d91406a4945e117f4d95754,Bartoo Phyllis Jepkemoi,Yes,UDA,Moiben,Uasin Gishu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bartoo-phyllis-jepkemoi/
