Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:450bc42b339ddfa142ffd10a5e3353323a49fac878799ef635493da17edc56b5,Abdikadir Hussein,Yes,ODM,Lagdera,Garissa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdikadir-hussein/
membership:51c35b26b0401d3641bf8465de42bb66cbc53b1f48b10f5d7cbc9152c8912a11,Khamis Chome,Yes,WDM-K,Voi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/khamis-chome/
membership:2badd63b891ad73645ef806c6eca4e09d70c5fd11ff2e6156f6cb948415cb7e7,Ahmed Shakeel Ahmed Shabbir,Yes,IND,Kisumu East,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ahmed-shakeel-ahmed-shabbir/
membership:6c2b8cc6c95118fea29d50300775702637a8bee0abf708b747005901c38548ef,Okuome Adipo Andrew,Yes,ODM,Karachuonyo,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/andrew-adipo-okuome/
membership:60fac3175c3ff2fd9d788fa1927a44b34b81a476b4640685c25c5740e1932acc,Anthony Tom Oluoch,Yes,ODM,Mathare,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-tom-oluoch/
membership:2667880050902b3a06be63762ca7013cb630750183ddfb0b2366de490490317f,Antoney Kibagendi,Yes,ODM,Kitutu Chache South,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kibagendi/
membership:5f11dc2395515f64ec0b0c454731d5b1c78fc101fffbff44ac68c7938a7c8054,John Namoit,Yes,ODM,Turkana South,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ariko-john-namoit/
membership:1e2f92f72a2a90e9b485ae5eb44310b7a4e9b767b52f59aedd8d18bc664b1025,Atandi Samuel Onunga,Yes,ODM,Alego Usonga,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/atandi-samuel-onunga/
membership:b5405cb7f001fbbefb40cb6c4fe0e02e85286a63c4ec4da008ba6a2b0330826c,Babu Owino,Yes,ODM,Embakasi East,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/babu-owino-paul-ongili/
membership:4274d4e64f7cfad2c49377833d3751238a0ee7ac3dea9a577c5ec6ce9843b517,Bady Twalib,Yes,ODM,Jomvu,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bady-bady-twalib/
membership:4a8732d124fc7f19869b2f011276870e4711d280441f6bf225a9edcf825e0da5,Barongo Nolfason Obadiah,Yes,ODM,Bomachoge Borabu,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/barongo-nolfason-obadiah/
membership:b8e751a1e0ae3cf6496b43687f8bf41b912419ebe51a9f76f01366cef9965502,Basil Robert Ngui,Yes,WDM-K,Yatta,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/basil-robert-ngui/
membership:ec86763613369d3e121dbf98c5bddbe5f1e971e85216ebd11510e8bd5598436c,John Bwire,Yes,WDM-K,Taveta,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bwire-john-okano/
membership:4cf8b96d519956f84b8e45e9afbf99274cdec36c13767bb3c57090b6f12da6a0,Caleb Amisi,Yes,ODM,Saboti,Trans Nzoia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caleb-amisi-luyai/
membership:bc50b967266e7c580e00c63d1bbb12fb151fc0d12bd27cf4799c741ca5bc3021,Ombaka Oduor Christine,Yes,ODM,—,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/christine-oduor-ombaka/
membership:6f8f07a1009b3c19bef051e427ae58f0727abee713df27d6342992a19ab8e007,Danson Mwashako,Yes,WDM-K,Wundanyi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/danson-mwashako-mwakuwona/
membership:99adab6cbdc785e2c23562177d515d697288a2746f47de52de2491aeb8883c77,Dick Maungu Oyugi,Yes,DAP-K,Luanda,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/dick-maungu/
membership:710f224704b51e017a7bcf63270c1c31729e8a78b1e17dd3d11b50f4b1a655ea,Aburi Donya Dorice,Yes,WDM-K,—,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/donya-dorice-aburi/
membership:3a39e4849087eb64a89a79edf3c341f359bcb9ef24e8647200b333fdb0ce3659,Elachi Beatrice Kadeveresia,Yes,ODM,Dagoretti North,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/elachi-beatrice/
membership:bce0324cf8abc3b58d5ef8fd5d77187ed43c88e7f3b1715b73259f16c3098743,Nzioka Erastus Kivasu,Yes,WDM-K,Mbooni,Makueni,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/erastus-kivasu-nzioka/
membership:34b7d86ea1c04646eb60f0804c26a86d50945e036514adc261a6b3e5150f70a5,Obara Eve Akinyi,Yes,ODM,Kabondo Kasipul,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/eve-akinyi-obara/
membership:5fb9d7bc259a0794581d34cf1ce9b4c4677dd797804134ae70bff220276167fd,Farah Yussuf Mohamed,Yes,ODM,Wajir West,Wajir,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/farah-yussuf-mohamed/
membership:b9b063386de0a3868641c8e13edf523becd778b7e9ea4fd388214823a5aa4dfd,Gachagua George,Yes,UDA,Ndaragwa,Nyandarua,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gachagua-george/
membership:ac2e700dc2bce0325af2c55ae498b504ed92ff4692cb4760cbf9447fbdbc8bee,Kaluma George Peter Opondo,Yes,ODM,Homa Bay Town,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/george-peter-opondo-kaluma/
membership:460bc5d598f8891e017897dd4d0c9c04cd2fa9d7b8282fd1ccf2249789ed54c8,Mwanyanje Gertrude Mbeyu,Yes,ODM,—,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gertrude-mbeyu-mwanyanje/
membership:39c7cfbfeac3066ec8efd78b201c21c54896b63940c3fe8f3011309bb962b63b,Gideon Mutemi Mulyungi,Yes,WDM-K,Mwingi Central,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gideon-mutemi-mulyungi/
membership:3e57982c7ed78171b277d53b86d6b00d1ba3ff49aaf6ded171f90af738b98246,Kakuta Maimai,Yes,ODM,Kajiado East,Kajiado,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/hamisi-kakuta/
membership:0276ae9d52b3b219b565eec717ab3ed66cd586f18a3ff25c76dbd117465905ec,Kombe Harrison Garama,Yes,ODM,Magarini,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/harrison-garama-kombe/
membership:cf26a7a15972b688f95a6f9806d677924f51e275862a6818dbdac1d20c767af2,Irene Muthoni Kasalu,Yes,WDM-K,—,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/irene-muthoni-kasalu/
membership:bef2ba8d47842c38f8d839486df49b6f85ff53ee42fde7e6891a25e13c88240a,Nyikal Wambura James,Yes,ODM,Seme,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nyikal-james-wambura/
membership:e4a0f694ed1d519bee59ccf3615ca2d9987b2c8a27b8d4e54c3c73e089086d67,Naicca Johnson Manya,Yes,ODM,Mumias West,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/johnson-manya-naicca/
membership:662ea527d0d9567cfa2de5be15ff80212d64df53d9803e87e345b4df5114254b,Naisula Lesuuda,Yes,KANU,Samburu West,Samburu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/naisula-lesuuda/
membership:05a44159643aa8f89f272ebf3bab700b1472f8cc5eae0877df04e1f35fa16b9f,Joseph Kalasinga Majimbo,Yes,FORD-KENYA,Kabuchai,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/majimbo-kalasinga/
