Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:ca591d8cdc67046435b2d004da643629a89b547f66c5f9ce6e068dd48bbec564,Thuku Zachary Kwenya,Yes,JP,Kinangop,Nyandarua,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/zachary-kwenya-thuku/
membership:450bc42b339ddfa142ffd10a5e3353323a49fac878799ef635493da17edc56b5,Abdikadir Hussein,No,ODM,Lagdera,Garissa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdikadir-hussein/
membership:51c35b26b0401d3641bf8465de42bb66cbc53b1f48b10f5d7cbc9152c8912a11,Khamis Chome,No,WDM-K,Voi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/khamis-chome/
membership:3855c56f007bf56e0d3a863663d9d25f57cf47ec4ca5ef7bb431c2d1803cd153,Aden Mohammed,No,ODM,Wajir South,Wajir,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/adow-aden-mohammed/
membership:6c2b8cc6c95118fea29d50300775702637a8bee0abf708b747005901c38548ef,Okuome Adipo Andrew,No,ODM,Karachuonyo,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/andrew-adipo-okuome/
membership:2667880050902b3a06be63762ca7013cb630750183ddfb0b2366de490490317f,Antoney Kibagendi,No,ODM,Kitutu Chache South,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kibagendi/
membership:5f11dc2395515f64ec0b0c454731d5b1c78fc101fffbff44ac68c7938a7c8054,John Namoit,No,ODM,Turkana South,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ariko-john-namoit/
membership:1e2f92f72a2a90e9b485ae5eb44310b7a4e9b767b52f59aedd8d18bc664b1025,Atandi Samuel Onunga,No,ODM,Alego Usonga,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/atandi-samuel-onunga/
membership:b8e751a1e0ae3cf6496b43687f8bf41b912419ebe51a9f76f01366cef9965502,Basil Robert Ngui,No,WDM-K,Yatta,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/basil-robert-ngui/
membership:ef564cf182a94d7bffba25510b3968559b5bf1fe2120992073aaf94f0346e7c0,Buyu Rozaah Akinyi,No,ODM,Kisumu West,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/buyu-rozaah-akinyi/
membership:4cf8b96d519956f84b8e45e9afbf99274cdec36c13767bb3c57090b6f12da6a0,Caleb Amisi,No,ODM,Saboti,Trans Nzoia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caleb-amisi-luyai/
membership:42091fd0c66b0c1027eefa982b6a89104c7dd4b437e5bc6f99d8741e83cbb124,Ngusya Charles Nguna,No,WDM-K,Mwingi West,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charles-ngusya-nguna/
membership:bc50b967266e7c580e00c63d1bbb12fb151fc0d12bd27cf4799c741ca5bc3021,Ombaka Oduor Christine,No,ODM,—,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/christine-oduor-ombaka/
membership:6f8f07a1009b3c19bef051e427ae58f0727abee713df27d6342992a19ab8e007,Danson Mwashako,No,WDM-K,Wundanyi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/danson-mwashako-mwakuwona/
membership:99adab6cbdc785e2c23562177d515d697288a2746f47de52de2491aeb8883c77,Dick Maungu Oyugi,No,DAP-K,Luanda,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/dick-maungu/
membership:34b7d86ea1c04646eb60f0804c26a86d50945e036514adc261a6b3e5150f70a5,Obara Eve Akinyi,No,ODM,Kabondo Kasipul,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/eve-akinyi-obara/
membership:c9ad3bcac3d92ef1ed6aa31b950e8821faa0c88f0ef4afab61c57ed7968259b2,Jehow Fatuma Abdi,No,ODM,—,Wajir,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/fatuma-abdi-jehow/
membership:0d6e1c7fae058ee4868e81bdf62f9c4e07bb7675a581559be6236b3f14f48e39,Mohammed Fatuma Zainab,No,IND,—,Migori,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/fatuma-zainab-mohammed/
membership:dd03bbe8fe9bc4a7fc5d74017d0c96bfccc5fa2cb962779cbc45acd49d4c7cc7,Geoffrey Makokha Odanga,No,ODM,Matayos,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/geoffrey-makokha-odanga/
membership:ac2e700dc2bce0325af2c55ae498b504ed92ff4692cb4760cbf9447fbdbc8bee,Kaluma George Peter Opondo,No,ODM,Homa Bay Town,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/george-peter-opondo-kaluma/
membership:460bc5d598f8891e017897dd4d0c9c04cd2fa9d7b8282fd1ccf2249789ed54c8,Mwanyanje Gertrude Mbeyu,No,ODM,—,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gertrude-mbeyu-mwanyanje/
membership:3e57982c7ed78171b277d53b86d6b00d1ba3ff49aaf6ded171f90af738b98246,Kakuta Maimai,No,ODM,Kajiado East,Kajiado,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/hamisi-kakuta/
membership:cf26a7a15972b688f95a6f9806d677924f51e275862a6818dbdac1d20c767af2,Irene Muthoni Kasalu,No,WDM-K,—,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/irene-muthoni-kasalu/
membership:bef2ba8d47842c38f8d839486df49b6f85ff53ee42fde7e6891a25e13c88240a,Nyikal Wambura James,No,ODM,Seme,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nyikal-james-wambura/
membership:96ca4220d44ca030faa5d98d70fcae2b70b921d4725d622aacd19b1d2a2c5bd4,Owino John Walter,No,ODM,Awendo,Migori,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/john-walter-owino/
membership:543476829fd03e7e96e9cf92e382642019a3cb28ca29384ba2a4cd303fd9cd0d,Joseph H. Maero Oyula,No,ODM,Butula,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/oyula-joseph/
membership:c6ba7bcc3f52bbb6622a5c7760d5a75e335872b2c489e1afa6d044105dbba583,Oron Joshua Odongo,No,ODM,Kisumu Central,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/joshua-oron-odongo/
membership:99d55ef789c8619b4318893817f788d95d1eeb62a6a38dd4702dcdb6da860e5e,Joyce Kamene,No,WDM-K,—,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/joyce-kamene/
membership:068df58925474a93b9f31623019e81a919c6e025c89ff72caf0a073e5fd5b9e6,Mawathe Julius Musili,No,IND,Embakasi South,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/julius-musili-mawathe/
membership:7ef251827e4a74727dd98fdd782e7abb78d5546db82bb357909acd2bedcc37a1,Junet Sheikh Nuh Mohamed,No,IND,Suna East,Migori,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nuh-junet/
membership:5e78da656a72cbfba5bebeeb829c4c971ef3c9787b85d3626fa773320a394456,Mwenje Mark Samuel,No,JP,Embakasi West,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/mwenje-mark-samuel-muriithi/
membership:664666fbab1f883657bc2bc05be2a8a3d9748cc6be8a15eff55a743e0060eba5,Masito Fatuma Hamisi,No,ODM,—,Kwale,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/masito-fatuma-hamisi/
membership:bd8c74c6bce9d5c2633cf55bf84a9cb13b5c5819d85b86fde930c70f78d7d568,Machele Mohamed Soud,No,ODM,Mvita,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/mohamed-soud/
membership:f8a852e55b8c5ac3a2d71c05bac76e720f3a17a4f86acc958fd1517f2909c446,Mohamed Zamzam Chimba,No,ODM,—,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/mohamed-zamzam-chimba/
membership:f53cd26896eef4cbd00f272253d1cde9b1bf474b2d446fa5e33d39a0f2be30ae,Mugabe Innocent Maino,No,ODM,Likuyani,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/mugabe-innocent-miano/
membership:32076af7721a9170574207812b72707b4abdb1d6ccdd9fd094a643aa4ac18f21,Muhanda Elsie Busihile,No,ODM,—,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/muhanda-elsie-busihile/
membership:5a2ce594594465837c5ae71190a36005673e10e47905d8435ceb5737ffbdb615,Robert Mbui,No,WDM-K,Kathiani,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/musau-robert-mbui/
membership:14fdf10cf34df9c354d1a974da1859d220e0f7c09b30f9216b19964b49ea15c3,Nabulindo Peter Oscar,No,ODM,Matungu,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nabulindo-peter-oscar/
membership:5d324a9045609031bcb4ac8674b5421dee9ea486d3186b42031a23a58e292078,Wamboka Wanami Jack Nelson,No,DAP-K,Bumula,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nelson-jack-wanami-wamboka/
membership:c1e40265cfb76e6149475ba295a2ea85b356b63d485eedf8690a6a71ba6094e6,Mwale Nicholas Scott Tindi,No,ODM,Butere,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nicholas-scott-tindi-mwale/
membership:988b0e3e5fd9499de15a1b91c169575ca23a92624e355eb63bd7f3a42efd7f07,Nyenze Edith Vethi,No,WDM-K,Kitui West,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/nyenze-edith-vethi/
membership:5679c3db5d2bc538cf1c920170a9fe736957f388e2a1158916f276ed31ab3f92,Omanyo Catherine Nakhabi,No,ODM,—,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/omanyo-catherine-nakhabi/
membership:3053aa33557a00d24d791ca619390ce853180bf9193831dd899a5581cd95ac10,Orero Peter Ochieng,No,ODM,Kibra,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/orero-peter-ochieng/
membership:c7595c2943078e344bf17fb49158c57b691f5291e00973ccc00de0cd26e783c3,Patrick Makau,No,WDM-K,Mavoko,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/patrick-makau-kingola/
membership:0928a86f5ebdeb64aafbabd4756b133d34190aacd0d51f9f5d5c9827d230b44d,Osero Patrick,No,ODM,Borabu,Nyamira,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/patrick-osero/
membership:134dc9c1ff56e8d26f5a9fc5f83fce85480c5354cfc2e0f771d01486a4a24f49,Katana Paul Kahindi,No,ODM,Kaloleni,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/paul-kahindi-katana/
membership:b3e05c9f98f292bad44be01874a0d0377505c9eb1218d8009d874adcee47c645,CS Amollo Paul Otiende,No,ODM,Rarieda,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/paul-otiende-amollo/
membership:bdd5674f95fdf58f1ebc623ae61e02e53ed6692e36d50f96a9f128402556bebc,Masara Peter Francis,No,ODM,Suna West,Migori,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/peter-francis-masara/
membership:c041a3480bd9938f5f2f77177fcaeba8b13612503c6d1598abb78f1a088dd3f0,Wanjala Raphael Bitta Sauti,No,ODM,Budalangi,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/raphael-bitta-sauti-wanjala/
membership:9cc36c341b6cf2970989f54960d45723c70e7f9569bc5e744f878ddbeca5bb58,Mule Stephen Mutinda,No,WDM-K,Matungulu,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/stephen-mutinda-mule/
membership:591cebf7e3c45b3775e998d666d7579f32637cfba4b4a999f803257b773c06fc,Kiamba Suzanne Ndunge,No,WDM-K,Makueni,Makueni,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/suzanne-ndunge-kiamba/
membership:486f3aef9415ade5bfb703241f8e173b0859dcf700a2ee34b99264d8b9a97926,Wilberforce Ojiambo Oundo,No,ODM,Funyula,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/oundo-wilberforce-ojiambo/
