Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:ee1d8cd2bfd518c0bee4155b597778d07fdd1356b39edadb06300f84796aa012,Abdi Ali Abdi,Yes,NAP-K,Ijara,Garissa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdi-ali/
membership:450bc42b339ddfa142ffd10a5e3353323a49fac878799ef635493da17edc56b5,Abdikadir Hussein,Yes,ODM,Lagdera,Garissa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdikadir-hussein/
membership:d5877ca900afab5c181615daa51994d9f157cf1ffa9c0f8f4f93ec415ed0988b,Abdirahman Mohamed,Yes,JP,Lafey,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdirahman-mohamed-abdille/
membership:ec4012d41b23f0838e838c9f93a18e88f50c87f05c88d84c6f3d5519cb5d543f,Abdul Rahim Dawood,Yes,IND,North Imenti,Meru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdul-rahim-dawood/
membership:3a4dc3235266bc97483c696e7b20cd144b86fe16d17b52619560d96a9d2e74e0,Abubakar Talib,Yes,WDM-K,—,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abubakar-talib-ahmed/
membership:fd2b8cc7cc13e8934bc8b966fcdcea273e61042dc753bd6b4cad03e2a5b4566e,Adagala Beatrice,Yes,ANC,—,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/adagala-beatrice-kahai/
membership:3855c56f007bf56e0d3a863663d9d25f57cf47ec4ca5ef7bb431c2d1803cd153,Aden Mohammed,Yes,ODM,Wajir South,Wajir,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/adow-aden-mohammed/
membership:f93cc0d9ae3ea55247b06818056a92a913ea15ea8840a6d2d5108ff5396ab1c8,Pareyio Mantaine Agnes,Yes,JP,Narok North,Narok,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/agnes-mantaine-pareyio/
membership:2badd63b891ad73645ef806c6eca4e09d70c5fd11ff2e6156f6cb948415cb7e7,Ahmed Shakeel Ahmed Shabbir,Yes,IND,Kisumu East,Kisumu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ahmed-shakeel-ahmed-shabbir/
membership:ecbc3efb90a38df6ca122c59686f223c76523f44e49e4423f551e0468386807a,Alfah Ondieki Miruka,Yes,UDA,Bomachoge Chache,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/alfah-miruka-ondieki/
membership:c0cd4a2a025c038ea53f5436462d6030b1bd23f7359af574f49e5b77a9c3dc20,Abdisirat Khalif,Yes,UDA,—,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ali-abdisirat-khalif/
membership:dbc3882272f33824aa215b23872896a5f88c5819824717b847231e916e5e08f6,Ali Wario,Yes,ODM,Garsen,Tana River,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ali-wario/
membership:e93bf4897ee730f9f5206a591401feec865464bec1645997cbead0ca51476421,Abdullahi Amina Dika,Yes,KANU,—,Tana River,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/amina-dika-abdullahi/
membership:6c2b8cc6c95118fea29d50300775702637a8bee0abf708b747005901c38548ef,Okuome Adipo Andrew,Yes,ODM,Karachuonyo,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/andrew-adipo-okuome/
membership:7729296c94f61bea5bbcd1be5dc05a9f63de7242fd3695851aa0b954c2d3a89c,Mupe Anthony Kenga,Yes,PAA,Rabai,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kenga/
membership:ead63526002d43047a18083d6f2ba83180c3b4fdf5a91f26a61be1e65281218b,Ichung’wah Antony Kimani,Yes,UDA,Kikuyu,Kiambu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kimani-ichungwah/
membership:60fac3175c3ff2fd9d788fa1927a44b34b81a476b4640685c25c5740e1932acc,Anthony Tom Oluoch,Yes,ODM,Mathare,Nairobi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-tom-oluoch/
membership:2667880050902b3a06be63762ca7013cb630750183ddfb0b2366de490490317f,Antoney Kibagendi,Yes,ODM,Kitutu Chache South,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kibagendi/
membership:1e2f92f72a2a90e9b485ae5eb44310b7a4e9b767b52f59aedd8d18bc664b1025,Atandi Samuel Onunga,Yes,ODM,Alego Usonga,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/atandi-samuel-onunga/
membership:4274d4e64f7cfad2c49377833d3751238a0ee7ac3dea9a577c5ec6ce9843b517,Bady Twalib,Yes,ODM,Jomvu,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bady-bady-twalib/
membership:4a8732d124fc7f19869b2f011276870e4711d280441f6bf225a9edcf825e0da5,Barongo Nolfason Obadiah,Yes,ODM,Bomachoge Borabu,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/barongo-nolfason-obadiah/
membership:859fe948c70339b6e88e17ddce72e13660d28d063d91406a4945e117f4d95754,Bartoo Phyllis Jepkemoi,Yes,UDA,Moiben,Uasin Gishu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bartoo-phyllis-jepkemoi/
membership:e112e1a1cfff6333d2f26c18087be65e59451344730bdde18a7c608c39907337,Baya Owen Yaa,Yes,UDA,Kilifi North,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/baya-owen-yaa/
membership:2c8c8cbe61e42b2a935862a13d1b050588dcf0eeb7b4569b17517b895905ec9f,Bernard Kibor Kitur,Yes,UDA,Nandi Hills,Nandi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bernard-kitur-kibor/
membership:17918fd2d9cd2ec2c491eb4192612500abab78fedf3c68e0f9775fbd89db9183,Biego Paul Kibichiy,Yes,UDA,Chesumei,Nandi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/biego-paul-kibichiy/
membership:2c3808b3cf50bb802d1439a4cdd108edbb39da66ac31b5b880cea4f70ae100a3,Bowen David Kangogo,Yes,UDA,Marakwet East,Elgeyo Marakwet,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-kangongo-bowen/
membership:ec86763613369d3e121dbf98c5bddbe5f1e971e85216ebd11510e8bd5598436c,John Bwire,Yes,WDM-K,Taveta,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bwire-john-okano/
membership:4cf8b96d519956f84b8e45e9afbf99274cdec36c13767bb3c57090b6f12da6a0,Caleb Amisi,Yes,ODM,Saboti,Trans Nzoia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caleb-amisi-luyai/
membership:ba50a7e6831ebd577d85c5a5addf17e938cdbcc85efd0b3e371e2483b52eae57,Mule Caleb Mutiso,Yes,MCCP,Machakos Town,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caleb-mule-mutiso/
membership:30f9d530afd9742b85786c36057c98926d1f85d7daf285115d6c20d591daa7a5,Omondi Caroli,Yes,ODM,Suba South,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caroli-omondi/
membership:3a4038557c3af83fb33d192929ea92cf4d0fc8fe14c849380a30ba062ff2bb4a,Cecilia Asinyen Ngitit,Yes,UDA,—,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/cecilia-asinyen-ngitit/
membership:46ae481acb4f3fe719c08c8da376b9f784e1db1e305d31600c18b9707e720e21,Chepkwony Charity Kathambi,Yes,UDA,Njoro,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charity-kathambi-chepkwony/
membership:e7f0e9e5bcd9c42a7cfa9c30f3c30a858fe635863f2ad4c6a8cb87b387a4946e,Charles Kamuren,Yes,UDA,Baringo South,Baringo,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/kamuren-charles/
membership:5d74a14b859c163301f0ad3d0e5979c1608df578f2fc3e56a9a0b9ad09cb63a5,Onchoke Charles Mamwacha,Yes,UPA,Bonchari,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charles-mamwacha-onchoke/
membership:42091fd0c66b0c1027eefa982b6a89104c7dd4b437e5bc6f99d8741e83cbb124,Ngusya Charles Nguna,Yes,WDM-K,Mwingi West,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charles-ngusya-nguna/
membership:931c9c149806e82044c0d9398cbec60a9275d1043b370481370eb193d34a6bdd,Tungule Charo Kenneth Kazungu,Yes,PAA,Ganze,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charo-kenneth-kazungu/
membership:aa590198ddb651f3a43995845d981faaf96f1643cd4351722d5aff974b11158d,Chelule Liza Chepkorir,Yes,UDA,—,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/chelule-liza-chepkorir/
membership:00a1c18890dd04505ba841a51e731796f012ce21deebbb734735c165864e4eed,Chiforomodo Mangale,Yes,UDM,Lunga Lunga,Kwale,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/chiforomodo-mangale-munga/
membership:bc50b967266e7c580e00c63d1bbb12fb151fc0d12bd27cf4799c741ca5bc3021,Ombaka Oduor Christine,Yes,ODM,—,Siaya,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/christine-oduor-ombaka/
membership:f73a7ec54f6d671aaa16048ed5dd92ab3b93af3f91456f05681c3732f17bbf19,Chumel Moroto Samwel,Yes,UDA,Kapenguria,West Pokot,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/chumel-moroto-samuel/
membership:00a4fd1a929f129747c9829c4bded9a80b01845e203a264ff756b54362fdf5fc,Dido Ali. Rasso,Yes,UDA,Saku,Marsabit,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/col-rtd-ali-rasso-dido/
membership:a9954184b17fb105b8c387228e7aef1b678f9eb67c4b234408f9bf8814525edd,Daniel Epuyo Nanok,Yes,UDA,Turkana West,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/daniel-epuyo-nanok/
membership:2fb42846a13cb374298c26177f9da3347e20b92a07a4a34db58f11f64977f640,Daniel Wanyama,Yes,UDA,Webuye West,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/daniel-wanyama-sitati/
membership:6f8f07a1009b3c19bef051e427ae58f0727abee713df27d6342992a19ab8e007,Danson Mwashako,Yes,WDM-K,Wundanyi,Taita Taveta,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/danson-mwashako-mwakuwona/
membership:653c5030be854a3d60f5523c3972a650aee100a6a6b0029e40562d9e2a5b9669,David Gikaria,Yes,UDA,Nakuru Town East,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-gikaria/
membership:95580d0d65ee2cef54da29a287a4fda1dae15636736f5457fffdfab8903f9721,David Mwalika,Yes,WDM-K,Kitui Rural,Kitui,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-mwalika-mboni/
,David Njuguna Kiaraho,Yes,—,—,—,
,Denar Joseph Hamisi,Yes,—,—,—,
membership:99adab6cbdc785e2c23562177d515d697288a2746f47de52de2491aeb8883c77,Dick Maungu Oyugi,Yes,DAP-K,Luanda,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/dick-maungu/
membership:40394f6bc03ea612a28dccd0dfa9abb1a8b63e52d450bdcdc43e493d8f28d029,Didmus Wekesa Barasa Mutua,Yes,UDA,Kimilili,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/didmus-wekesa-barasa-mutua/
membership:710f224704b51e017a7bcf63270c1c31729e8a78b1e17dd3d11b50f4b1a655ea,Aburi Donya Dorice,Yes,WDM-K,—,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/donya-dorice-aburi/
membership:8e4c6c4fdce08e20b75c55d42b6ee827b0acffa5b237f2e199049eeb0265090b,Mathenge Duncan Maina,Yes,UDA,Nyeri Town,Nyeri,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/duncan-maina-mathenge/
membership:237e2a55b99375a23a0dc592e16a3c3ea3603b2f87233953da14e156bab39b5e,Kaunya Edward Oku,Yes,ODM,Teso North,Busia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/edward-oku-kaunya/
membership:a927751eb3b4389c6a60102d123ed280f224468d5729dcf1bd72100f680ad4e8,Chege Njuguna,Yes,UDA,Kandara,Muranga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/edwin-chege-njuguna/
