Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:ec4012d41b23f0838e838c9f93a18e88f50c87f05c88d84c6f3d5519cb5d543f,Abdul Rahim Dawood,Yes,IND,North Imenti,Meru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdul-rahim-dawood/
membership:ecbc3efb90a38df6ca122c59686f223c76523f44e49e4423f551e0468386807a,Alfah Ondieki Miruka,Yes,UDA,Bomachoge Chache,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/alfah-miruka-ondieki/
membership:c0cd4a2a025c038ea53f5436462d6030b1bd23f7359af574f49e5b77a9c3dc20,Abdisirat Khalif,Yes,UDA,—,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ali-abdisirat-khalif/
membership:ead63526002d43047a18083d6f2ba83180c3b4fdf5a91f26a61be1e65281218b,Ichung’wah Antony Kimani,Yes,UDA,Kikuyu,Kiambu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kimani-ichungwah/
membership:2c8c8cbe61e42b2a935862a13d1b050588dcf0eeb7b4569b17517b895905ec9f,Bernard Kibor Kitur,Yes,UDA,Nandi Hills,Nandi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bernard-kitur-kibor/
membership:2c3808b3cf50bb802d1439a4cdd108edbb39da66ac31b5b880cea4f70ae100a3,Bowen David Kangogo,Yes,UDA,Marakwet East,Elgeyo Marakwet,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-kangongo-bowen/
membership:e7f0e9e5bcd9c42a7cfa9c30f3c30a858fe635863f2ad4c6a8cb87b387a4946e,Charles Kamuren,Yes,UDA,Baringo South,Baringo,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/kamuren-charles/
membership:2fb42846a13cb374298c26177f9da3347e20b92a07a4a34db58f11f64977f640,Daniel Wanyama,Yes,UDA,Webuye West,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/daniel-wanyama-sitati/
membership:653c5030be854a3d60f5523c3972a650aee100a6a6b0029e40562d9e2a5b9669,David Gikaria,Yes,UDA,Nakuru Town East,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-gikaria/
,Denar Joseph Hamisi,Yes,—,—,—,
membership:40394f6bc03ea612a28dccd0dfa9abb1a8b63e52d450bdcdc43e493d8f28d029,Didmus Wekesa Barasa Mutua,Yes,UDA,Kimilili,Bungoma,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/didmus-wekesa-barasa-mutua/
membership:d6d08a6e395ab6984d3a28a16009a7b9beca17afd79623815c983bf5065942f5,Mutuse Eckomas Mwengi,Yes,MCCP,Kibwezi West,Makueni,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/eckomas-mwengi-mutuse/
membership:7d52dfe47d4355a04ff007e37608567789106c393bfd0a9083f59534c83a55ee,Muli Fabian Kyule,Yes,GDDP,Kangundo,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/fabian-kyule-muli/
membership:768d82107d63ea6a23abb1d6fc6b769e49bc77039cf1ccf3789c04b011902eb1,Gitau Faith Wairimu,Yes,UDA,—,Nyandarua,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/faith-wairimu-gitau/
membership:deb15208aa0b8533c45a64f7e4de9a99dcd1e58faef5d6924e1052a151803ae2,Salim Feisal Abdallah Bader,Yes,UDA,Msambweni,Kwale,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdallah-kadi/
membership:78e86fddaeb5358e7be5025efe7858f7029685605cd9d2e0e995fe0e8796665d,Francis Kipyegon Arap Sigei,Yes,UDA,Sotik,Bomet,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/francis-kipyegon-sigei/
membership:2d55adfce64494fc75d9cef581e902c3cf81a7f5e920a0730e62b21e047f7d1b,Gabriel Koshal Tongoyo,Yes,UDA,Narok West,Narok,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gabriel-koshal-tongoyo/
membership:b9b063386de0a3868641c8e13edf523becd778b7e9ea4fd388214823a5aa4dfd,Gachagua George,Yes,UDA,Ndaragwa,Nyandarua,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/gachagua-george/
membership:da5fe4faa98f4b2519de023de016ffaccbb43b05c0dfb7418d48a38b4e06c68c,Geoffrey Wandeto,Yes,UDA,Tetu,Nyeri,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/geoffrey-wandeto-mwangi/
membership:24e4a72e091e9c62e50e05e8e540b7553cb203e5fe77cf1ad050db875e2ef195,Murugara George Gitonga,Yes,UDA,Tharaka,Tharaka Nithi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/george-gitonga-murugara/
membership:15e4171cdbaa7564df4044890f3ba360a438eac545d7a171c97e38a13d5b01fe,George Koimburi,Yes,UDA,Juja,Kiambu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/george-koimburi-ndungu/
membership:b9b49cb84a6e4f0354895dc0842bcaa5de218ed6705209970bf468950d376e48,Kariuki George Macharia,Yes,UDA,Ndia,Kirinyaga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/george-macharia-kariuki-gk/
membership:b5835866ba01718452bac5c4de7a1e72ea02d24883cada3465a1895f357355ec,Gichuki Edwin Mugo,Yes,UDA,Mathioya,Muranga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/edwin-mugo/
